Rank,Method,Top 1 Accuracy,Top 5 Accuracy,Number of params,Extra Training Data Label,Year,date
1,"Noisy Student 
(EfficientNet-L2)",87.4%,98.2%,480M,X,2019.0,2019-11-11
2,FixResNeXt-101 32x48d,86.4%,98.0%,829M,X,2019.0,2019-06-14
3,ResNeXt-101 32x48d,85.4%,97.6%,829M,X,2018.0,2018-05-02
12,AmoebaNet-A,83.9%,96.6%,469M,,2018.0,2018-02-05
19,PNASNet-5,82.9%,96.2%,86.1M,,2017.0,2017-12-02
20,"NASNET-A
(6)",82.7%,96.2%,89M,,2017.0,2017-07-21
27,"DPN-131 
(320x320)",81.4%,95.8%,80M,,2017.0,2017-07-06
26,"DPN-131 
(320x320, Mean-Max Pooling)",81.5%,95.8%,80M,,2017.0,2017-07-06
28,PolyNet,81.3%,95.8%,92M,,2016.0,2016-11-17
34,ResNeXt-101 64x4,80.9%,95.6%,83.6M,,2016.0,2016-11-16
36,Inception ResNet V2,80.1%,95.1%,55.8M,,2016.0,2016-02-23
58,Inception V3,78.8%,94.4%,23.8M,,2015.0,2015-12-02
88,PReLU-Net,75.7%,92.6%,,,2015.0,2015-02-06
102,VGG-19,74.5%,92.0%,144M,,2014.0,2014-09-04
108,MSRA,71.3%,89.1%,,,2014.0,2014-06-18
106,SPPNet,72.1%,91.9%,,,2014.0,2014-06-18
112,Five Base + Five HiRes,66.3%,86.3%,,,2013.0,2013-12-19
114,ZFNet,64.0%,85.3%,,,2013.0,2013-11-12
115,AlexNet - 7CNNs,63.3%,84.6%,60M,,2012.0,2012-12-01
